栏目,分类ID,文章标题,字数,来源URL,本地文件
招生通知2026级,1,关于统计2026级未报到本科新生信息的通知,310,https://zsjyc.ysu.edu.cn/info/1270/7067.htm,01_关于统计2026级未报到本科新生信息的通知.md
招生通知2026级,1,关于开展2026级新生入学资格复查工作的通知,423,https://zsjyc.ysu.edu.cn/info/1270/7066.htm,02_关于开展2026级新生入学资格复查工作的通知.md
招生通知2026级,1,关于向2026年第二学士学位新生发放调档函的通知,144,https://zsjyc.ysu.edu.cn/info/1270/7065.htm,03_关于向2026年第二学士学位新生发放调档函的通知.md
教务管理规定,2,燕山大学本科生考试违规认定管理办法,2034,https://jwc.ysu.edu.cn/info/1042/8864.htm,01_燕山大学本科生考试违规认定管理办法.md
教务管理规定,2,燕山大学本科生课程成绩管理办法,1935,https://jwc.ysu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=6329,02_燕山大学本科生课程成绩管理办法.md
教务管理规定,2,燕山大学普通本科学生学籍管理规定,8242,https://jwc.ysu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1041&wbnewsid=8740,03_燕山大学普通本科学生学籍管理规定.md
教务管理规定,2,燕山大学本科生转专业管理办法,1865,https://jwc.ysu.edu.cn/info/1041/1195.htm,04_燕山大学本科生转专业管理办法.md
教务管理规定,2,燕山大学学籍异动学生课程认定和学分转换管理办法,1172,https://jwc.ysu.edu.cn/info/1041/3422.htm,05_燕山大学学籍异动学生课程认定和学分转换管理办法.md
教务管理规定,2,燕山大学本科生学业预警工作实施细则,2252,https://jwc.ysu.edu.cn/info/1041/2382.htm,06_燕山大学本科生学业预警工作实施细则.md
教务管理规定,2,燕山大学本科教学事故认定与处理办法,5055,https://jwc.ysu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1043&wbnewsid=3421,07_燕山大学本科教学事故认定与处理办法.md
教务管理规定,2,燕山大学本科实习教学管理办法,6063,https://jwc.ysu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1044&wbnewsid=6929,08_燕山大学本科实习教学管理办法.md
教务管理规定,2,燕山大学本科实验教学管理办法,3863,https://jwc.ysu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1044&wbnewsid=6930,09_燕山大学本科实验教学管理办法.md
学校概况,4,学校简介,2485,https://www.ysu.edu.cn/xxgk/xxjj.htm,01_学校简介.md
